Year,Quarter,GrowthRate
1990,Q1,1.2
1990,Q2,2.1
1990,Q3,1.1
1990,Q4,1
1991,Q1,1.6
1991,Q2,1.3
1991,Q3,1.4
1991,Q4,2.1
1992,Q1,1.1
1992,Q2,1.7
1992,Q3,1.8
1992,Q4,0.9
1993,Q1,1.4
1993,Q2,1.7
1993,Q3,2.3
1993,Q4,1.1
1994,Q1,2.2
1994,Q2,0.8
1994,Q3,0.8
1994,Q4,1.3
1995,Q1,0.7
1995,Q2,-0.2
1995,Q3,-0.2
1995,Q4,1.3
1996,Q1,1.6
1996,Q2,0.7
1996,Q3,1.3
1996,Q4,2.3
1997,Q1,1.5
1997,Q2,1.9
1997,Q3,0.5
1997,Q4,-2.7
1998,Q1,-2.4
1998,Q2,-1.7
1998,Q3,-1.6
1998,Q4,-0.9
1999,Q1,1
1999,Q2,2.2
1999,Q3,2
1999,Q4,2.8
2000,Q1,3
2000,Q2,0.1
2000,Q3,1.2
2000,Q4,0.7
2001,Q1,-0.3
2001,Q2,-0.1
2001,Q3,-0.1
2001,Q4,-0.6
2002,Q1,0.1
2002,Q2,1.5
2002,Q3,1.6
2002,Q4,0.7
2003,Q1,-0.1
2003,Q2,-2.4
2003,Q3,6.1
2003,Q4,1.1
2004,Q1,2.9
2004,Q2,1.8
2004,Q3,1.1
2004,Q4,2
2005,Q1,1.1
2005,Q2,3.1
2005,Q3,1.9
2005,Q4,1.2
2006,Q1,2.2
2006,Q2,1
2006,Q3,1.8
2006,Q4,1.6
2007,Q1,1.4
2007,Q2,1.6
2007,Q3,1.9
2007,Q4,1.8
2008,Q1,1.4
2008,Q2,-1.2
2008,Q3,-1.1
2008,Q4,-2
2009,Q1,-3.4
2009,Q2,3.6
2009,Q3,0.5
2009,Q4,2
2010,Q1,1.9
2010,Q2,1.7
2010,Q3,0.9
2010,Q4,1.6
2011,Q1,2.7
2011,Q2,-0.4
2011,Q3,0.2
2011,Q4,0.5
2012,Q1,0.2
2012,Q2,0.6
2012,Q3,0.8
2012,Q4,1.1
2013,Q1,0.8
2013,Q2,0.4
2013,Q3,0.6
2013,Q4,0.9
2014,Q1,0.9
2014,Q2,-0.2
2014,Q3,1.5
2014,Q4,0.4
2015,Q1,0.6
2015,Q2,0.6
2015,Q3,0.5
2015,Q4,0.1
2016,Q1,-0.3
2016,Q2,1.5
2016,Q3,1.1
2016,Q4,1.1
2017,Q1,0.6
2017,Q2,0.9
2017,Q3,0.8
2017,Q4,1.1
2018,Q1,1.4
2018,Q2,-0.1
2018,Q3,0.2
2018,Q4,-0.3
2019,Q1,0.7
2019,Q2,-0.6
2019,Q3,-3.3
2019,Q4,-0.4
2020,Q1,-4.8
2020,Q2,-1.3
2020,Q3,2.6
2020,Q4,0.3
2021,Q1,6.6
2021,Q2,-2.1
2021,Q3,0.7
2021,Q4,-0.2
2022,Q1,-3.5
2022,Q2,1.4
2022,Q3,-2.1
2022,Q4,0.4
2023,Q1,3
2023,Q2,0.1
2023,Q3,0.8
2023,Q4,0.4
2024,Q1,1.3
2024,Q2,0.3
2024,Q3,-0.1
2024,Q4,0.9
2025,Q1,1.9

